timestamp,event_type,track_id,vehicle_class,lane_or_line,extra
1788635205.8587735,count,3,Car,Near-Carriageway,outbound
1788635206.719926,count,2,Car,Near-Carriageway,outbound
1788635206.719926,count,5,Car,Near-Carriageway,outbound
1788635206.720403,wrong_way,4,Car,/home/claude/traffic-engine/evidence/wrong_way_4_1788635206.jpg,high
1788635206.7204888,wrong_way,6,Car,/home/claude/traffic-engine/evidence/wrong_way_6_1788635206.jpg,high
1788635206.884246,count,4,Car,Near-Carriageway,outbound
1788635207.0421734,wrong_way,8,Car,/home/claude/traffic-engine/evidence/wrong_way_8_1788635207.jpg,high
1788635207.8070495,count,6,Car,Near-Carriageway,outbound
1788635208.1112869,count,8,Car,Near-Carriageway,outbound
1788635209.655323,count,12,Car,Near-Carriageway,outbound
1788635209.9726865,wrong_way,22,Car,/home/claude/traffic-engine/evidence/wrong_way_22_1788635209.jpg,high
1788635210.1320775,wrong_way,12,Car,/home/claude/traffic-engine/evidence/wrong_way_12_1788635210.jpg,high
1788635210.6116285,count,40,Car,Near-Carriageway,outbound
1788635211.0202546,count,22,Car,Near-Carriageway,outbound
1788635211.506734,wrong_way,47,Car,/home/claude/traffic-engine/evidence/wrong_way_47_1788635211.jpg,high
1788635212.5420163,count,47,Car,Near-Carriageway,outbound
1788635213.3051686,count,13,Bus,Near-Carriageway,outbound
1788635214.001077,count,62,Car,Near-Carriageway,outbound
1788635214.0014837,wrong_way,35,Car,/home/claude/traffic-engine/evidence/wrong_way_35_1788635214.jpg,high
1788635214.5494618,count,86,Bus,Near-Carriageway,outbound
1788635214.9420967,count,100,Car,Near-Carriageway,outbound
1788635215.0176868,count,35,Car,Near-Carriageway,outbound
1788635215.4736457,wrong_way,59,Car,/home/claude/traffic-engine/evidence/wrong_way_59_1788635215.jpg,high
1788635216.5258524,count,66,Car,Near-Carriageway,outbound
1788635216.603154,count,59,Car,Near-Carriageway,outbound
1788635216.6813188,wrong_way,90,Car,/home/claude/traffic-engine/evidence/wrong_way_90_1788635216.jpg,high
1788635217.898783,count,90,Car,Near-Carriageway,outbound
1788635218.5854306,wrong_way,93,Car,/home/claude/traffic-engine/evidence/wrong_way_93_1788635218.jpg,high
1788635219.1196222,wrong_way,103,Car,/home/claude/traffic-engine/evidence/wrong_way_103_1788635219.jpg,high
1788635219.5790033,count,103,Car,Near-Carriageway,outbound
1788635219.6550105,count,93,Car,Near-Carriageway,outbound
1788635219.9525015,count,109,Car,Near-Carriageway,outbound
1788635219.9530048,wrong_way,123,Car,/home/claude/traffic-engine/evidence/wrong_way_123_1788635219.jpg,high
1788635221.1707335,count,123,Car,Near-Carriageway,outbound
1788635221.472719,count,127,Car,Near-Carriageway,outbound
1788635221.700763,wrong_way,121,Car,/home/claude/traffic-engine/evidence/wrong_way_121_1788635221.jpg,high
1788635222.9356744,count,121,Car,Near-Carriageway,outbound
1788635223.475841,count,132,Car,Near-Carriageway,outbound
1788635225.8085225,count,151,Car,Near-Carriageway,outbound
1788635226.1346035,wrong_way,153,Car,/home/claude/traffic-engine/evidence/wrong_way_153_1788635226.jpg,high
1788635226.5404203,count,143,Car,Near-Carriageway,outbound
1788635226.5408885,wrong_way,143,Car,/home/claude/traffic-engine/evidence/wrong_way_143_1788635226.jpg,high
1788635227.1102254,count,158,Car,Near-Carriageway,outbound
1788635227.5240254,wrong_way,186,Car,/home/claude/traffic-engine/evidence/wrong_way_186_1788635227.jpg,high
1788635227.6029258,count,153,Car,Near-Carriageway,outbound
1788635228.466306,count,178,Car,Near-Carriageway,outbound
1788635228.8760386,count,186,Car,Near-Carriageway,outbound
1788635229.79197,wrong_way,183,Car,/home/claude/traffic-engine/evidence/wrong_way_183_1788635229.jpg,high
1788635230.1784785,count,180,Car,Near-Carriageway,outbound
1788635230.954953,count,183,Car,Near-Carriageway,outbound
1788635231.191015,count,199,Car,Near-Carriageway,outbound
1788635231.2689807,wrong_way,199,Car,/home/claude/traffic-engine/evidence/wrong_way_199_1788635231.jpg,high
1788635231.9220822,wrong_way,201,Car,/home/claude/traffic-engine/evidence/wrong_way_201_1788635231.jpg,high
1788635233.2082508,wrong_way,215,Car,/home/claude/traffic-engine/evidence/wrong_way_215_1788635233.jpg,high
1788635233.3607593,count,201,Car,Near-Carriageway,outbound
1788635233.671109,count,213,Car,Near-Carriageway,outbound
1788635234.600852,count,215,Car,Near-Carriageway,outbound
1788635235.059061,wrong_way,214,Car,/home/claude/traffic-engine/evidence/wrong_way_214_1788635235.jpg,high
1788635235.8179207,count,242,Car,Near-Carriageway,outbound
1788635236.3662024,count,214,Car,Near-Carriageway,outbound
1788635237.6526961,count,262,Bus,Near-Carriageway,outbound
1788635239.390975,wrong_way,269,Car,/home/claude/traffic-engine/evidence/wrong_way_269_1788635239.jpg,high
1788635239.7080598,count,276,Car,Near-Carriageway,outbound
